"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 11:05:21 CST 2022","Mon Jun 13 11:05:42 CST 2022","20781","","test_login_report","TestLogin","","","登录成功","输入正确的用户名正确的密码，点击登录，返回登录成功"
"passed","Mon Jun 13 11:05:42 CST 2022","Mon Jun 13 11:06:00 CST 2022","17322","","test_login_report","TestLogin","","","密码错误","输入正确的用户名错误的密码，点击登录，返回密码错误"
"passed","Mon Jun 13 11:06:00 CST 2022","Mon Jun 13 11:06:19 CST 2022","19182","","test_login_report","TestLogin","","","密码为空","输入正确的用户名不输入的密码，点击登录，返回密码为空"
